Name,Open,High,Low,Close,Volume,Dividends,StockSplits
ABNB,133.7100067138672,134.1842041015625,131.1199951171875,132.1999969482422,4276528.0,0.0,0.0
ALGN,301.7099914550781,303.92999267578125,297.0899963378906,298.55999755859375,613628.0,0.0,0.0
AMD,96.91999816894531,98.41999816894531,95.61000061035156,96.19999694824219,52077267.0,0.0,0.0
CEG,109.45999908447266,110.73989868164062,108.61489868164062,110.36000061035156,1209257.0,0.0,0.0
AMZN,131.11000061035156,132.02999877929688,128.52000427246094,129.1199951171875,51903976.0,0.0,0.0
AMGN,267.6700134277344,269.4949951171875,266.55999755859375,267.70001220703125,1696497.0,0.0,0.0
AEP,79.45999908447266,79.80000305175781,79.04000091552734,79.16999816894531,2431961.0,0.0,0.0
ADI,174.99000549316406,176.8800048828125,174.25999450683594,175.47999572753906,2700720.0,0.0,0.0
ANSS,301.7699890136719,305.57000732421875,301.260009765625,302.9100036621094,235763.0,0.0,0.0
AAPL,174.6699981689453,177.07899475097656,174.05499267578125,174.7899932861328,55110610.0,0.0,0.0
AMAT,136.99000549316406,138.30999755859375,135.75,136.1699981689453,5075473.0,0.0,0.0
GEHC,63.83000183105469,64.80500030517578,63.73630142211914,64.33000183105469,2277514.0,0.0,0.0
ASML,593.8800048828125,594.77001953125,586.0449829101562,587.0999755859375,837125.0,0.0,0.0
TEAM,190.47999572753906,197.5850067138672,190.47999572753906,195.4600067138672,1040946.0,0.0,0.0
ADSK,204.5500030517578,206.27999877929688,203.7899932861328,204.0399932861328,1070971.0,0.0,0.0
ATVI,94.05999755859375,94.11000061035156,93.86470031738281,93.91999816894531,19472164.0,0.0,0.0
ADP,237.6199951171875,240.92999267578125,237.6199951171875,239.35000610351562,984483.0,0.0,0.0
AZN,68.37000274658203,68.50499725341797,67.73999786376953,67.83000183105469,4328454.0,0.0,0.0
BKR,35.15999984741211,35.619998931884766,35.18000030517578,35.400001525878906,4817187.0,0.0,0.0
AVGO,811.239990234375,830.5798950195312,810.3800048828125,829.0800170898438,2709005.0,0.0,0.0
BIIB,259.3299865722656,260.7149963378906,257.1400146484375,257.67999267578125,784354.0,0.0,0.0
BKNG,3045.0,3096.679931640625,3037.419921875,3062.5400390625,235561.0,0.0,0.0
CDNS,229.6699981689453,233.25,229.6699981689453,230.66000366210938,722169.0,0.0,0.0
ADBE,513.0900268554688,518.1500244140625,508.8299865722656,512.9000244140625,2390151.0,0.0,0.0
CHTR,454.2200012207031,456.9200134277344,444.7250061035156,445.2099914550781,704330.0,0.0,0.0
CPRT,43.189998626708984,43.540000915527344,43.060001373291016,43.15999984741211,3032834.0,0.0,0.0
CSGP,78.36000061035156,79.0199966430664,77.9800033569336,78.05999755859375,1220408.0,0.0,0.0
CRWD,162.63999938964844,166.58999633789062,162.01010131835938,162.57000732421875,3124112.0,0.0,0.0
CTAS,504.92999267578125,509.989990234375,504.19500732421875,504.75,391379.0,0.0,0.0
CSCO,53.400001525878906,53.82500076293945,53.20000076293945,53.56999969482422,16506104.0,0.0,0.0
CMCSA,45.560001373291016,45.84000015258789,45.2599983215332,45.29999923706055,12459421.0,0.0,0.0
COST,555.1599731445312,562.969970703125,554.780029296875,558.5900268554688,1488339.0,0.0,0.0
CSX,31.0,31.510000228881836,30.969999313354492,31.200000762939453,15038771.0,0.0,0.0
CTSH,69.18000030517578,70.08000183105469,68.98999786376953,69.61000061035156,1982872.0,0.0,0.0
DDOG,89.0999984741211,89.72000122070312,87.26000213623047,88.76000213623047,2487015.0,0.0,0.0
DXCM,88.4000015258789,88.9800033569336,87.13999938964844,87.5,4556238.0,0.0,0.0
FANG,151.99000549316406,153.35000610351562,150.1699981689453,150.57000732421875,1342412.0,0.0,0.0
DLTR,105.91000366210938,106.86000061035156,104.09439849853516,104.5,2053361.0,0.0,0.0
EA,118.88999938964844,120.16000366210938,118.69999694824219,119.0,1792538.0,0.0,0.0
EBAY,44.22999954223633,44.84000015258789,43.0,43.130001068115234,8215045.0,0.0,0.0
ENPH,126.37000274658203,126.5,119.40499877929688,119.91999816894531,4056947.0,0.0,0.0
ON,92.16000366210938,94.69999694824219,91.97000122070312,93.80999755859375,5173458.0,0.0,0.0
EXC,40.459999084472656,40.560001373291016,39.8650016784668,40.209999084472656,3602176.0,0.0,0.0
FAST,53.9900016784668,54.529998779296875,53.959999084472656,54.209999084472656,2040058.0,0.0,0.0
GFS,57.77000045776367,58.36000061035156,56.720001220703125,56.83000183105469,1073011.0,0.0,0.0
META,299.29998779296875,305.3500061035156,298.2799987792969,299.0799865722656,24416005.0,0.0,0.0
FI,116.73999786376953,116.94999694824219,115.70999908447266,116.08000183105469,2238646.0,0.0,0.0
FTNT,58.75,59.09000015258789,58.11199951171875,58.2400016784668,3458377.0,0.0,0.0
GILD,74.76000213623047,75.61000061035156,74.3499984741211,75.01000213623047,4351652.0,0.0,0.0
GOOG,131.67999267578125,133.0,130.50999450683594,131.25,16124280.0,0.0,0.0
GOOGL,130.75999450683594,132.02499389648438,129.60549926757812,130.25,25004914.0,0.0,0.0
HON,190.92999267578125,191.80999755859375,189.58999633789062,189.77999877929688,2569547.0,0.0,0.0
ILMN,133.75,134.89999389648438,131.8000030517578,132.44000244140625,1897888.0,0.0,0.0
INTC,34.810001373291016,34.880001068115234,34.13999938964844,34.18000030517578,29225781.0,0.0,0.0
INTU,504.0,512.135009765625,500.6600036621094,508.57000732421875,1233792.0,0.0,0.0
ISRG,286.489990234375,293.9200134277344,284.4200134277344,288.20001220703125,1962157.0,0.0,0.0
